None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
970,AMZN,5/16/2014,292.8,298.88,291.55,297.7,3636800,297.7
971,AMZN,5/15/2014,298.02,299.2,290.38,295.19,4295100,295.19
972,AMZN,5/14/2014,302.5,304.64,296.66,297.62,3323300,297.62
973,AMZN,5/13/2014,302.6,305.6,300.75,304.64,3509900,304.64
974,AMZN,5/12/2014,294.3,303.34,294.16,302.86,3729600,302.86
975,AMZN,5/9/2014,290.57,293.68,284.38,292.24,4063000,292.24
976,AMZN,5/8/2014,290.82,295.8784,287.23,288.32,3848200,288.32
977,AMZN,5/7/2014,295.56,296.4,286.68,292.71,7015200,292.71
978,AMZN,5/6/2014,309.53,309.81,297.04,297.38,4682300,297.38
979,AMZN,5/5/2014,306.37,310.23,305,310.05,2519900,310.05
980,AMZN,5/2/2014,310.42,313.29,304.31,308.01,3995100,308.01
981,AMZN,5/1/2014,304.13,310.48,304,307.89,4328600,307.89
982,AMZN,4/30/2014,298.1,304.56,298.1,304.13,4088600,304.13
983,AMZN,4/29/2014,296.44,301.84,290.45,300.38,6509300,300.38
984,AMZN,4/28/2014,304,304.39,288,296.58,14479800,296.58
985,AMZN,4/25/2014,316.25,316.49,302.71,303.83,16180200,303.83
986,AMZN,4/24/2014,329.67,337.4,322.95,337.15,9293700,337.15
987,AMZN,4/23/2014,333.06,333.13,323.39,324.58,3604600,324.58
988,AMZN,4/22/2014,332,337.5,328.94,329.32,3711600,329.32
989,AMZN,4/21/2014,323.97,331.1499,322.31,330.87,2999400,330.87
990,AMZN,4/17/2014,319.76,328.66,319.76,324.91,4299200,324.91
991,AMZN,4/16/2014,321.17,324,314.71,323.68,4284900,323.68
992,AMZN,4/15/2014,316.7,318.28,305.5,316.08,5398600,316.08
993,AMZN,4/14/2014,317.67,320.48,311.28,315.91,4293500,315.91
994,AMZN,4/11/2014,314,316.5,309.5,311.73,7287500,311.73
995,AMZN,4/10/2014,330.6,331,316.5,317.11,6126700,317.11
996,AMZN,4/9/2014,328.47,332.18,322.5,331.805,5056600,331.805
997,AMZN,4/8/2014,321.88,328,318.44,327.07,6577600,327.07
998,AMZN,4/7/2014,320.99,324.94,313.13,317.76,7077400,317.76
999,AMZN,4/4/2014,335.15,335.44,315.61,323,12534600,323
1000,AMZN,4/3/2014,341.82,342.5,328.46,333.62,6399300,333.62
1001,AMZN,4/2/2014,345.99,348.295,340.38,341.96,4475500,341.96
1002,AMZN,4/1/2014,338.09,344.43,338,342.99,3600100,342.99
1003,AMZN,3/31/2014,342.4,346.29,334.06,336.365,4297500,336.365
1004,AMZN,3/28/2014,340.05,347,336.08,338.29,3986800,338.29
1005,AMZN,3/27/2014,343.15,343.9999,330.88,338.47,5766400,338.47
1006,AMZN,3/26/2014,357.13,357.6,343.4,343.41,4120700,343.41
1007,AMZN,3/25/2014,354.03,358.97,348.84,354.71,4445700,354.71
1008,AMZN,3/24/2014,360.09,361.5,348.6,351.85,4873500,351.85
1009,AMZN,3/21/2014,371,372.84,358.4,360.62,5414100,360.62
1010,AMZN,3/20/2014,370.64,373,366.22,368.97,2558500,368.97
1011,AMZN,3/19/2014,378.77,379,369.42,373.23,2646700,373.23
1012,AMZN,3/18/2014,377.32,379,375,378.77,2483500,378.77
1013,AMZN,3/17/2014,375.72,378.85,374.88,375.04,2303000,375.04
1014,AMZN,3/14/2014,372.8,378.568,371.55,373.74,4402200,373.74
